"lang_iso_code","cs"
"lang_alphabet","A;Á;B;C;Č;D;Ď;E;É;Ě;F;G;H;CH;I;Í;J;K;L;M;N;Ň;O;Ó;P;Q;R;Ř;S;Š;T;Ť;U;Ú;Ů;V;W;X;Y;Ý;Z;Ž"
"smscurrency","CZK"
"All years","Všechny roky"
"Presta SMS","Presta SMS"
"About","O modulu"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Všechna práva vyhrazena"
"Developer:","Vývojář:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adresa:"
"B. Nemcove 767/13","B. Němcové 767/13"
"78701 Sumperk","78701 Šumperk"
"Czech Republic","Česká Republika"
"VAT: CZ29444268","DIČ: CZ29444268"
"Office Telephone:","Telefon:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/cz/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Vyberte události, při kterých budou administrátoři obchodu upozorněni SMS zprávou a definujte text těchto zpráv."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtněte pouze pokud chcete ve zprávě použít diakritiku a nebo jazyky jako je čínština, arabština, řečtina, hebrejština, korejština, atp. (Unicode umožňuje použít současně různé fonty a symboly. Počet znaků v jedné Unicode zprávě je 70)."
"Save","Uložit"
"Sending notifications via SMS is ACTIVE","Odesílání sms notifikací je AKTIVNÍ."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Odesílání sms notifikací NENÍ AKTIVNÍ. Odesílání SMS aktivujete zaškrtnutím alespoň jednoho administrátora."
"Update of order status","Aktualizace stavu objednávky"
"Account","Účet"
"Product","Produkt"
"Order status","Stav objednávky"
"Order","Objednávka"
"Admin SMS - not active","Admin SMS - neaktivní"
"Please add at least one administrator!","Prosím přidejte alespoň jednoho administrátora!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář. Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"Invalid SMS text","Neplatný text SMS zprávy"
"Text of SMS was saved.","Text SMS zprávy byl uložen."
"Unicode saved.","Unicode uložen."
"char","Znak"
"chars","Znaků"
"label","Štítek"
"SMS text","SMS text"
"total sms:","celkem sms:"
"Enter SMS text","Zadejte text SMS zprávy"
"Preview","Náhled"
"Administrators","Adminstrátoři"
"Save","Uložit"
"Cancel","Zrušit"
"Restore unsaved changes to its original state.","Vrátí neuložené změny do původního stavu."
"User profile - not active","Uživatelský profil - neaktivní"
"User profile - active","Uživatelský profil - aktivní"
"New user account","Nový uživatelský účet"
"Not registered yet? Create account now!","Ještě jste se neregistrovali? Vytvořte si účet nyní!"
"Email:","Email:"
"Company name:","Jméno firmy:"
"Street:","Ulice:"
"City:","Město:"
"ZIP:","PSČ:"
"Country:","Země:"
"Company ID:","IČO:"
"Company VAT:","DIČ:"
"Referer ID:","Referer ID:"
"View licence terms:","Zobrazit licenční podmínky:"
"I agree","Souhlasím"
"I dont agree","Nesouhlasím"
"Register","Registrovat"
"Required field","Požadované pole"
"Sign in","Přihlásit"
"If You already have an account, please sign in.","Pokud již máte založený účet, prosím přihlašte se"
"Username:","Uživatel:"
"Password:","Heslo:"
"Log in","Přihlásit"
"Edit user account","Upravit uživatelský účet"
"Save","Uložit"
"User account info","Informace o uživatelském účtu"
"SMS Credit:","SMS kredit:"
"Add administrators","Přidat administrátora"
"Name:","Jméno:"
"Mobile number:","Mobil:"
"Edit","Upravit"
"Add","Přidat"
"Other settings","Další nastavení"
"Simulate SMS sending:","Simulovat odeslání SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Umožňuje testovat odeslání SMS a zobrazit testovací SMS v záložce Historie SMS."
"Delete database:","Smazat databázi:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Umožňuje rozhodnout se, zda zachovat stávající nastavení a databázi odeslaných SMS v případě odinstalace SMS modulu."
"Delivery reports:","Informace o doručení (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Zobrazí informaci o doručení v záložce Historie SMS."
"Low credit alert:","Upozornění na nízký kredit:"
" Allows to receive email when your SMS credit is low.","Umožňuje obdržet email v případě, že Váš SMS kredit je nízký."
"Email for delivery reports:","Email pro příjem doručenek:"
"Allows to receive email with delivery report of SMS.","Umožňuje obdržet email se zprávou o doručení SMS."
"Admin was created.","Správce byl vytvořen."
"You have to agree with licence terms.","Musíte odsouhlasit licenční podmínky."
"Account was created.","Účet byl vytvořen. Do Vaší mailové schránky jsme Vám zaslali email pro potvrzení Vaší adresy a získání 5 kreditů zdarma."
"you can add another account after ","Další účet můžete přidat za "
"minutes"," minut"
"can not connect to SMS server","nelze se připojit k SMS serveru"
"You were succesfully loged in.","Byli jste úspěšně přihlášeni."
"error","chyba"
"Invalid VAT", "Nesprávné DIČ"
"login error","chyba přihlášení"
"Invalid e-mail for delivery report.","Neplatný email pro zprávy o doručení."
"Invalid e-mail","Neplatný e-mail"
"Account was changed.","Účet byl změněn."
"Account was changed, but module URL for DR does not answer.","Účet byl změněn, ale URL SMS modulu pro zprávy o doručení neodpovídá."
"you can change account after ","Účet bude možné změnit za "
" seconds"," sekund"
"Invalid name","Neplatné jméno"
"Invalid number","Neplatné číslo"
"Admin was changed.","Správce byl změněn."
"Admin was deleted.","Správce byl smazán."
"no changes were made","nebyly provedeny žádné změny"
"Are you sure to delete","Opravdu si přejete odstranit"
"DELETE administrator","ODSTRANIT správce"
"EDIT administrator","UPRAVIT správce"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","v mezinárodním formátu, bez nul nebo znaménka “+” , např., 420603123456"
"(when uninstall)","(při odinstalaci)"
"(0 = no alert)","(0 = bez upozornění)"
"Fill in username and password.","Zadejte uživatelské jméno a heslo"
"Customer SMS - ","Zákaznické SMS - "
"Customer SMS - not active","Zákaznické SMS - neaktivní"
"default","výchozí"
" language version"," jazyková verze"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Vyberte události, při kterých bude zákazník upozorněn SMS zprávou a definujte text těchto zpráv. Pro různé země můžete rovněž vytvářet různé jazykové mutace SMS zpráv. U států s nedefinovanou mutací bude použita výchozí verze."
"Add SMS text version","Přidat jazykovou mutaci"
"Select country: ","Vyberte zemi: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtněte pouze pokud chcete ve zprávě použít diakritiku a nebo jazyky jako je čínština, arabština, řečtina, hebrejština, korejština, atp. (Unicode umožňuje použít současně různé fonty a symboly. Počet znaků v jedné Unicode zprávě je 70)."
"Order status","Stav objednávky"
"Sending notifications via SMS is ACTIVE","Odesílání sms notifikací je AKTIVNÍ."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Odesílání sms notifikací NENÍ AKTIVNÍ. Odesílání SMS aktivujete zaškrtnutím „Aktivní“ v detailu požadovaného stavu."
" Update of order status "," Aktualizace stavu objednávky "
"Account","Účet"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Uživatelský profil není aktivní! Zaregistrujte se kliknutím na záložku SMS v hlavním menu. Modul Vám zobrazí registrační formulář.Pokud jste již modul v minulosti používali a znáte Vaše uživatelské jméno a heslo, vyplňte formulář pro existujicí účet. V opačném případě zadejte email, odsouhlaste licenční podmínky a klikněte na ""Registrovat""."
"Invalid SMS text","Neplatný text SMS zprávy"
"Text of SMS was saved.","Text SMS zprávy byl uložen."
"SMS text version was deleted.","Jazyková mutace byla odstraněna."
"Are you sure to delete","Opravdu si přejete odstranit"
"DELETE language version","ODSTRANIT jazykovou mutaci"
"SMS text","Text SMS zprávy"
"unicode","unicode"
"SMS text version for ","Jazyková mutace pro "
" was saved"," byla uložena"
"Preview","Náhled"
"Active","Aktivní"
"Save","Uložit"
"Cancel","Zrušit"
"total sms:","celkem sms:"
"EDIT language version","UPRAVIT jazykovou mutaci"
"Edit","Upravit"
"Add","Přidat"
"Order","Objednávka"
"Chars","Znaků"
"Unicode was saved.","Unicode byl uložen."
"Restore unsaved changes to its original state.","Vrátí neuložené změny do původního stavu."
"Purchase Credit","Koupit kredit"
"Purchase Credit - not active","Koupit kredit - neaktivní"
