"lang_iso_code","de"
"lang_alphabet","A;Ä;B;C;D;E;F;G;H;I;J;K;L;M;N;O;Ö;P;Q;R;S;ß;T;U;Ü;V;W;Z"
"smscurrency","EUR"
"All years","Alle Jahre"
"About","Von dem Modul"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., alle Rechte vorbehalten"
"Developer:","Entwickler:"
"TOPefekt s.r.o.","TOPefekt s.r.o. "
"Address:","Adresse:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","Tschechische Republik"
"VAT: CZ29444268"," USt.-Ident.-Nr.: CZ29444268"
"Office Telephone:","Telefon:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/de/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Wählen Sie Ereignisse, bei denen die Administratoren des Geschäfts durch die SMS aufmerksam gemacht werden, und definieren Sie Texte für diese Nachrichten."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Nur auswählen, falls Sie in der Nachricht diakritische Zeichen oder Sprachen wie Chinesisch, Arabisch, Griechisch, Hebräisch, Koreanisch, usw. benutzen möchten. (Unicode ermöglicht es, gleichzeitig verschiedene Schriften und Symbolen zu benutzen. Die maximale Anzahl der Zeichen in einer Unicodenachricht beträgt 70)."
"Save","Speichern"
"Sending notifications via SMS is ACTIVE","Absenden der SMS-Notifikationen ist AKTIV."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator."," Absenden der SMS-Notifikationen ist NICHT AKTIV. Aktivieren Sie das Absenden der SMS durch Auswahl mindestens eines Administrators."
"Update of order status","Aktualisierung des Status Ihrer Bestellung"
"Account","Konto"
"Product","Produkt"
"Order status"," Status Ihrer Bestellung "
"Order","Bestellung"
"Admin SMS - not active","Admin SMS - nicht aktiv"
"Please add at least one administrator!","Fügen Sie bitte mindestens einen Administrator hinzu!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Benutzerprofil ist nicht aktiv! Registrieren Sie sich durch Anklicken der Registerkarte SMS im Hauptmenü. Modul zeigt Ihnen das Registrierungsformular an. Falls Sie das Modul schon in der Vergangenheit benutzt haben und Sie Ihren Benutzernamen und Passwort kennen, verwenden Sie das Formular für ein bestehendes Konto. Anderenfalls geben Sie Ihre E-mail-Adresse an, stimmen Sie den Lizenzbedingungen zu und klicken Sie auf ""Registrieren""."
"Invalid SMS text","Ungültiger Text der SMS-Benachrichtigung"
"Text of SMS was saved.","Text der SMS-Benachrichtigung wurde gespeichert."
"Unicode saved.","Unicode wurde gespeichert."
"char","Zeichen"
"chars","Zeichen"
"label","Schild"
"SMS text","SMS-Text"
"total sms:","SMS insgesamt:"
"Enter SMS text","Geben Sie den Text der SMS-Benachrichtigung ein"
"Preview","Ansicht"
"Administrators","Administratoren"
"Save","Speichern"
"Cancel","Abbrechen"
"Restore unsaved changes to its original state.","Rückgängig ohne zu speichern."
"User profile - not active","nicht aktives Benutzerprofil"
"User profile - active","aktives Benutzerprofil "
"New user account","neues Benutzerkonto"
"Not registered yet? Create account now!","Sind Sie noch nicht registriert? Bilden Sie jetzt Ihr Konto!"
"Email:","E-mail:"
"Company name:","Firmenname:"
"Street:","Straße:"
"City:","Stadt:"
"ZIP:","PLZ:"
"Country:","Land:"
"Company ID:"," Handelsregisternummer:"
"Company VAT:"," USt.-Ident.-Nr.:"
"Referer ID:","Referer ID:"
"View licence terms:","Lizenzbedingungen anzeigen:"
"I agree","Ich stimme zu"
"I dont agree","Ich stimme nicht zu"
"Register","Registrieren"
"Required field","Pflichtangabe"
"Sign in","Anmelden"
"If You already have an account, please sign in.","Falls Sie schon ein Benutzerkonto besitzen, melden Sie sich bitte an!"
"Username:","Benutzer:"
"Password:","Passwort:"
"Log in","Anmelden"
"Edit user account","Benutzerkonto bearbeiten"
"Save","Speichern"
"User account info","Informationen zu Ihrem Benutzerkonto"
"SMS Credit:","SMS-Guthaben:"
"Add administrators","Administrator hinzufügen"
"Name:","Name:"
