"lang_iso_code","el"
"smscurrency","EUR"
"lang_alphabet","Α;Β;Γ;Δ;Ε;Ζ;Η;Θ;Ι;Κ;Λ;Μ;Ν;Ξ;Ο;Π;Ρ;Σ;Τ;Υ;Φ;Χ;Ψ;Ω;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z"
"v_all_years","Όλα τα έτη"
"Settings","Ρυθμίσεις"
"Developer:","Προγραμματιστής:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Διεύθυνση:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","Δημοκρατία της Τσεχίας"
"VAT: CZ29444268","ΑΦΜ: CZ29444268"
"Office Telephone:","Τηλέφωνο γραφείου:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Ιστοσελίδα:"
"Admin SMS","SMS Διαχειριστή"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Επιλέξτε τα γεγονότα τα οποία οι διαχειριστές του καταστήματος θα πρέπει να ειδοποιηθούν μέσω SMS και προσαρμόστε τα κείμενα των μηνυμάτων αυτών."
"Unicode SMS","Unicode SMS"
"unicode","Unicode"
