"Count this as a "referral".","Count this as a "referral"."
"Points awarded to customers for their referral's purchases (% from purchase sum)","Points awarded to customers for their referral's purchases (% from purchase sum)"
"Points awarded to customers for their referral's purchases (fixed points amount)","Points awarded to customers for their referral's purchases (fixed points amount)"
"Points awarded to customers for their referral's signup","Points awarded to customers for their referral's signup"
"Points awarded to customers","Points awarded to customers"
"Referrals Milestone Email Template","Referrals Milestone Email Template"
"Referrals Milestone Trigger","Referrals Milestone Trigger"
"Affiliate Redirect Path","Affiliate Redirect Path"
"All table removed successfully","All table removed successfully"
"Allow Everything","Allow Everything"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Are you sure to reset all reward points refer friends table?","Are you sure to reset all reward points refer friends table?"
"Are you sure?","Are you sure?"
"Back","Back"
"Configuration","Configuration"
"Conversion Rate","Conversion Rate"
"Customer Behavior Earning Rules","Customer Behavior Earning Rules"
"Customer Referrals","Customer Referrals"
"Customer earning configuaration","Customer earning configuaration"
"Customer referrals","Customer referrals"
"Date","Date"
"Day limit for points for inviting a friend","Day limit for points for inviting a friend"
"Delete","Delete"
"Discount type for referral","Discount type for referral"
"Discount type for referrals","Discount type for referrals"
"E-mail","E-mail"
"Earn points for you invited purchasing order #%s via referring","Earn points for you invited purchasing order #%s via referring"
"Earning rate was successfully deleted","Earning rate was successfully deleted"
"Enable referral system","Enable referral system"
"Enable/Disable Reward Points Refer","Enable/Disable Reward Points Refer"
"Enjoyed this post?","Enjoyed this post?"
"Example contact list:","Example contact list:"
"General configuration","General configuration"
"ID","ID"
"If empty, the image on template will be used.","If empty, the image on template will be used."
"Invitation History","Invitation History"
"Invitation accepted","Invitation accepted"
"Invitation e-mail","Invitation e-mail"
"Invitation for %s has been sent.","Invitation for %s has been sent."
"Invitation for %s is not sent. Please try later.","Invitation for %s is not sent. Please try later."
"Invitation for email: %s has already been accepted","Invitation for email: %s has already been accepted"
"Invitation sent","Invitation sent"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invited Email","Invited Email"
"Login Now","Login Now"
"Manage customer referral","Manage customer referral"
"Message","Message"
"Milestone Rules","Milestone Rules"
"My Invitation","My Invitation"
"My Referrals","My Referrals"
"Number of Referrals","Number of Referrals"
"Order invoiced","Order invoiced"
"Pages to display","Pages to display"
"Points and Rewards Invitation","Points and Rewards Invitation"
"Referral E-mail or Code","Referral E-mail or Code"
"Referral Email","Referral Email"
"Referral Manager","Referral Manager"
"Referral Program","Referral Program"
"Referral Settings","Referral Settings"
"Referral Share Icon","Referral Share Icon"
"Referral Url and Code","Referral Url and Code"
"Referral code ","Referral code "
"Referral policy","Referral policy"
"Referral system","Referral system"
"Referral via Social","Referral via Social"
"Referrals Signup","Referrals Signup"
"Referrals can enter your e-mail address at checkout or signup.","Referrals can enter your e-mail address at checkout or signup."
"Referrals eanring configuaration","Referrals eanring configuaration"
"Referrals should enter the code in coupon form at cart page.","Referrals should enter the code in coupon form at cart page."
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Referrals that access this URL are connected as referrals once they sign up or place an order."
"Reinstall","Reinstall"
"Reward Points","Reward Points"
"Reward Points Referrals","Reward Points Referrals"
"Send Invitations","Send Invitations"
"Send Now","Send Now"
"Share with friends","Share with friends"
"Share your referring link/code with your friends and earn commissions.","Share your referring link/code with your friends and earn commissions."
"Short Message","Short Message"
"Signed Up","Signed Up"
"Spread it to your friends!","Spread it to your friends!"
"Status","Status"
"Store View","Store View"
"Taken back points for refunding order #%s","Taken back points for refunding order #%s"
"The referral configuration has been saved.","The referral configuration has been saved."
"This counts when Referral Places First Order","This counts when Referral Places First Order"
"This counts when Referrals Signup","This counts when Referrals Signup"
"To reduce the chance that your message is marked as spam, please follow this format:","To reduce the chance that your message is marked as spam, please follow this format:"
"View My Invitations","View My Invitations"
"View Order","View Order"
"WOW! Some amazing deals at %s! Check it out:","WOW! Some amazing deals at %s! Check it out:"
"You haven","You haven"
"You will receive %s per purchasing made by your friends.","You will receive %s per purchasing made by your friends."
"Your balance is","Your balance is"
"Your friends will be received %s when purchasing at our store.","Your friends will be received %s when purchasing at our store."
