"lang_iso_code","fr"
"lang_alphabet","A;À;Â;B;C;Ç;D;E;É;È;Ë;Ê;F;G;H;I;Î;Ï;J;K;L;M;N;O;Ô;Œ;P;Q;R;S;T;U;Ù;Û;V;W;X;Y;Z"
"smscurrency","EUR"
"All years","Tous les ans"
"About","Module"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Tous droits réservés"
"Developer:","Développeur"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adresse:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","La République tchèque"
"VAT: CZ29444268","No. TVA: CZ29444268"
"Office Telephone:","Téléphone:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/fr/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Choisissez les événements lors desquels les administrateurs du magasin seront avertis par un message SMS et définissez le texte de ces messages."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Cochez seulement si vous souhaitez utiliser dans le message le diacritique ou les langues comme le chinois, l´arabe, le grec, l´hébreu, le coréen etc.,(Unicode permet d´utiliser en même temps de différents fontes et symboles. Le nombre de caractères dans un message Unicode est 70)."
"Save","Sauvegarder"
"Sending notifications via SMS is ACTIVE","L´envoi du sms par notification est ACTIF."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","L´envoi du sms par notification est INACTIF. Vous activez l´envoi du­ SMS en cochant au moins un administrateur."
"Update of order status","Mise à jour de l´état de la commande"
"Account","Compte"
"Product","Produit"
"Order status","État de la commande"
"Order","Commande"
"Admin SMS - not active","Admin SMS - inactif"
"Please add at least one administrator!","Veuillez ajouter au moins un administrateur!"
