"lang_iso_code","pl"
"lang_alphabet","A;Ą;B;C;Ć;D;E;Ę;F;G;H;I;J;K;L;Ł;M;N;Ń;O;Ó;P;R;S;Ś;T;U;W;Y;Z;Ź;Ż"
"smscurrency","EUR"
"All years","Wszystkie lata"
"About","O nas"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Wszystkie prawa zastrzeżone"
"Developer:","Deweloper:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adres"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","Sumperk 78701"
"Czech Republic","Republika Czeska"
"VAT: CZ29444268","NIP: CZ29444268"
"Office Telephone:","Telefon:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/pl/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Wybierz zdarzenia, podczas których administratorzy sklepu zostaną powiadomieni za pośrednictwem SMS i zdefiniuj tekst tych wiadomości."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaznacz jedynie jeśli w wiadomości chcesz używać znaków diakrytycznych lub języków, takich jak chiński, arabski, grecki, hebrajski, koreański, itp.. (Unicode pozwala na użycie różnych czcionek jednocześnie i symbole. Liczba znaków w Unicode wiadomości to 70)."
"Save","Zapisz"
"Sending notifications via SMS is ACTIVE","Wysyłanie powiadomień SMS jest AKTYWNE."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Wysyłanie powiadomień SMS jest NIEAKTYWNE. Wybierz co najmniej jednego administratora, aby aktywować wysyłanie wiadomości SMS."
"Update of order status","Aktualizacja stanu zamówienia"
"Account","Konto"
"Product","Produkt"
"Order status","Stan zamówienia"
"Order","Zamówienie"
"Admin SMS - not active","Admin SMS - nieaktywny"
"Please add at least one administrator!","Proszę dodać co najmniej jednego administratora!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Profil użytkownika nie jest aktywny! Dokonaj rejestracji, klikając na zakładkę SMS w głównym menu. Moduł udostępni formularz rejestracyjny. Jeśli korzystałeś w przeszłości i znasz swoją nazwę użytkownika i hasło, należy wypełnić formularz dla istniejącego konta. W innym przypadku, wpisz adres e-mail, zaakceptuj warunki umowy licencyjnej i kliknij na ""Zarejestruj ""."
"Invalid SMS text","Nieprawidłowy tekst wiadomości SMS"
"Text of SMS was saved.","Tekst SMS został zapisany."
"Unicode saved.","Unicode zapisany."
"char","Znak"
"chars","Znaków"
"label","Etykieta"
"SMS text","tekst SMS"
"total sms:","całkiem sms:"
"Enter SMS text","Tekst SMS"
"Preview","Podgląd"
"Administrators","Administratorzy"
