"lang_iso_code","pt"
"lang_alphabet","A;Á;Ã;B;C;Ç;D;E;É;F;G;H;I;Í;J;L;M;N;O;Ó;Õ;Ô;P;Q;R;S;T;U;Ú;Ü;V;X;Z"
"smscurrency","EUR"
"All years","Todos os anos"
"About","Sobre o módulo"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Todos os direitos reservados"
"Developer:","Desenvolvedor:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Endereço"
"B. Nemcove 767/13","B. Nemcové 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","a República Checa"
"VAT: CZ29444268","NIF: CZ29444268"
"Office Telephone:","Telefone:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","Email:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/pt/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Selecione eventos dos quais os administradores de negócios serão avisados por SMS e defina o texto dessas mensagens."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Assinale apenas se você deseje usar na mensagem acentos ou idiomas como chinês, árabe, grego, hebraico, coreano, etc. (Unicode permite que você use simultaneamente diferentes fontes e símbolos. Número de caracteres em uma mensagem Unicode é 70)."
"Save","Guardar"
"Sending notifications via SMS is ACTIVE","Envio de notificações de SMS é ATIVO."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","O envio de notificações de SMS NÃO é ATIVO. Envio de SMS activa se assinala pelo menos um administrador."
"Update of order status","Atualização de estado da encomenda"
"Account","Conta"
"Product","Produto"
"Order status","Estado da encomenda"
"Order","Encomenda"
"Admin SMS - not active","SMS Admin - inativo"
"Please add at least one administrator!","Por favor, adicione pelo menos um administrador!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","O perfil do usuário não está ativo! Registe-se clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e você sabe o seu nome de usuário e senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite o contrato de licença e clique em ""Registrar""."
"Invalid SMS text","Texto da mensagem SMS inválido"
"Text of SMS was saved.","O texto da mensagem foi guardado."
"Unicode saved.","Unicode guardado."
"char","Caráter"
"chars","Carateres"
"label","Etiqueta"
"SMS text","Texto de mensagem SMS"
"total sms:","SMS ao total"
"Enter SMS text","Digite o texto de SMS"
"Preview","Visualização"
"Administrators","Administradores"
"Save","Guardar"
"Cancel","Cancelar"
"Restore unsaved changes to its original state.","Retorna alterações não guardadas ao estado original."
"User profile - not active","Perfil de usuário - inativo"
"User profile - active","Perfil de usuário - ativo"
"New user account","Nova conta de usuário"
"Not registered yet? Create account now!","Não se registou? Crie uma conta agora!"
"Email:","Email:"
"Company name:","Nome da firma:"
"Street:","Rua:"
"City:","Cidade:"
"ZIP:","CEP:"
"Country:","País"
"Company ID:","BI:"
"Company VAT:","NIF:"
"Referer ID:","Referer ID:"
"View licence terms:","Veja os termos de licença:"
"I agree","Concordo"
"I dont agree","Discordo"
"Register","Registar"
"Required field","Preenchimento obrigatório"
"Sign in","Logar"
"If You already have an account, please sign in.","Se você já tem uma conta, faça o login"
"Username:","Usuário:"
"Password:","Senha:"
"Log in","Logar"
"Edit user account","Alterar a conta de usuário"
"Save","Guardar"
"User account info","Informações sobre a conta de usuário"
"SMS Credit:","Crédito SMS:"
"Add administrators","Adicionar um administrador"
"Name:","Nome:"
"Mobile number:","Telemóvel:"
"Edit","Modificar"
"Add","Adicionar"
"Other settings","Outros ajustes:"
"Simulate SMS sending:","Simular o envio de SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Permite testar o envio de SMS e ver a mensagem SMS testada no guia História de SMS."
"Delete database:","Apagar o banco de dados:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Permite que você decida se quer manter as configurações e o banco de dados de SMS enviadas no caso da desinstalação do módulo SMS-Prestashop."
"Delivery reports:","Informações de entrega (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Apresenta as informações sobre a entrega no guia de História de SMS."
"Low credit alert:","Aviso de baixo nível de crédito:"
" Allows to receive email when your SMS credit is low.","Permite receber um email quando o seu nível de crédito SMS é baixo."
"Email for delivery reports:","Email para a receção dos relatórios de entrega: "
"Allows to receive email with delivery report of SMS.","Permite que você receba um email sobre a entrega de SMS."
"Admin was created.","O administrador foi criado."
"You have to agree with licence terms.","Você deve aceitar os termos da licença."
"Account was created.","O registo foi bem sucedido. Para a sua caixa de correio enviamos um e-mail para confirmar o seu endereço de e-mail e obter 5 créditos grátis."
"you can add another account after ","Você pode adicionar outra conta em "
"minutes"," minutos"
"can not connect to SMS server","não se pode conectar ao servidor de SMS"
"You were succesfully loged in.","Você foi logado com sucesso."
"error","erro"
"login error","erro de login"
"Invalid e-mail for delivery report.","Email para as mensagens de entrega inválido."
"Invalid e-mail","Email inválido"
"Account was changed.","A conta foi alterada."
"Account was changed, but module URL for DR does not answer.","A conta foi alterada, mas a URL de Módulo para as mensagens de entrega não responde."
"you can change account after ","Será possível alterar a conta em "
" seconds","segundos"
"Invalid name","Nome inválido"
"Invalid number","Número inválido"
"Admin was changed.","O administrador foi alterado."
"Admin was deleted.","O administrador foi apagado."
"no changes were made","Não foram feitas nenhumas alterações"
"Are you sure to delete","Tem certeza de que deseja apagar"
"DELETE administrator","APAGAR o administrador"
"EDIT administrator","ALTERAR o administrador"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","no formato internacional, sem zeros ou o sinal “+“, por exemplo, 351931234567"
"(when uninstall)","(para a desinstalação)"
"(0 = no alert)","(0 = nenhum aviso)"
"Fill in username and password.","Digite o seu nome de usuário e a senha"
"Customer SMS - ","SMS para os clientes -"
"Customer SMS - not active","SMS para os clientes - inativas"
"default","predefinido"
" language version","versão de idioma"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Selecione os eventos do quais o cliente será avisado por SMS e defina o texto dessas mensagens. Para os países diferentes, você também pode criar diferentes mutações da língua de mensagens SMS. Para os países com mutações indefinidas será usada a versão padrão."
"Add SMS text version","Adicionar uma mutação da língua"
"Select country: ","Selecione um país: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Assinale apenas se você deseja usar na mensagem acentos ou idiomas como chinês, árabe, grego, hebraico, coreano, etc. (O Unicode permite que você use simultaneamente diferentes fontes e símbolos. O número de caracteres em uma mensagem Unicode é 70)."
"Order status","Estado da encomenda"
"Sending notifications via SMS is ACTIVE","O envio de notificações de sms é ATIVO."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","O envio de notificações de SMS não é ativo. O envio de SMS activa pela selecção de ""Ativo"" no detalhe do estado desejado."
" Update of order status "," Atualização do estado da encomenda"
"Account","Conta"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","«O perfil do usuário não é ativo! Registe-se, clicando na guia SMS no menu principal. Módulo vai mostrar-lhe o formulário de registo. Se você usou este módulo no passado e sabe o seu nome de usuário e a senha, preencha o formulário para uma conta existente. Caso contrário, digite o email, aceite o termo de licença e clique em ""Registar""."
"Invalid SMS text","Texto da mensagem inválido"
"Text of SMS was saved.","O texto da mensagem foi guardado."
"SMS text version was deleted.","A mutação da língua foi removida."
"Are you sure to delete","Tem certeza de que deseja excluir"
"DELETE language version","EXCLUIR a mutação da língua"
"SMS text","O texto da mensagem SMS"
"unicode","unicode"
"SMS text version for ","A mutação da língua para "
" was saved"," foi guardada"
"Preview","Visualização"
"Active","Ativo"
"Save","Guardar"
"Cancel","Cancelar"
"total sms:","SMS ao total:"
"EDIT language version","MODIFICAR a mutação da língua"
"Edit","Modificar"
"Add","Adicionar"
"Order","Encomenda"
"Chars","Caracteres"
