"lang_iso_code","ru"
"lang_alphabet","А;Б;В;Г;Д;Е;Ё;Ж;З;И;Й;К;Л;М;Н;О;П;Р;С;Т;У;Ф;Х;Ц;Ч;Ш;Щ;Ъ;Ы;Ь;Э;Ю;Я;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z"
"smscurrency","EUR"
"All years","все годы"
"About","О нас"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Все права защищены"
"Developer:","Разработчик"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Адрес:"
"B. Nemcove 767/13","ул. Б. Немцовой, 767/13"
"78701 Sumperk","78701 Шумперк"
"Czech Republic","Чехия"
"VAT: CZ29444268","ИНН: CZ29444268"
"Office Telephone:","Номер телефона:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/ru/index.html"
"Admin SMS","Админ СМС"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Выберите события, о которых администраторы магазина будут уведомлены с помощью СМС сообщений, и определите текст этих сообщений."
"Unicode SMS","СМС Юникод"
"unicode"," Юникод "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Отметьте только в случае использования диакритических знаков, либо таких языков, как русский, китайский, арабский, греческий, иврит, корейский и т.п. (Юникод позволяет одновременно использовать разные шрифты и символы. Количество символов в Юникод сообщении равно 70)."
"Save","Сохранить"
"Sending notifications via SMS is ACTIVE","СМС рассылка АКТИВНА"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","СМС рассылка НЕАКТИВНА. Активируйте отправку СМС уведомлений с помощью выбора как минимум одного администратора"
"Update of order status","Обновление статуса заказа"
"Account","Аккаунт"
"Product","Продукт"
"Order status","Статус заказа"
"Order","Заказ"
"Admin SMS - not active","Система Админ СМС неактивна"
"Please add at least one administrator!","Выберите, пожалуйста, хотя бы одного администратора!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Профиль пользователя неактивен! Для регистрации нажмите на вкладку СМС в главном меню. Модуль отобразит окно для ввода регистрационных данных. Используйте модуль, с которым Вы уже работали. Введите имя пользователя и пароль для существующей учетной записи. В противном случае, заполните графу ""электронная почта"", примите условия лицензионного соглашения и нажмите ""зарегистрироваться""."
"Invalid SMS text","Неверный текст СМС сообщения"
"Text of SMS was saved.","Текст СМС сообщения был сохранен"
"Unicode saved.","Юникод сохранен"
"char","Символ"
"chars","Символов: "
"label","Значок-уведомление"
"SMS text","Текст СМС сообщения"
"total sms:","Всего СМС:"
"Enter SMS text","Текст СМС сообщения"
"Preview","Предварительный просмотр"
"Administrators","Администраторы"
"Save","Сохранить"
"Cancel","Отмена"
"Restore unsaved changes to its original state.","Не сохранять изменения, вернуться к исходному состоянию."
"User profile - not active","Профиль пользователя неактивен"
"User profile - active","Профиль пользователя активен"
"New user account","Новая учетная запись пользователя"
"Not registered yet? Create account now!","Вы еще не зарегистрированы? Зарегистрируйтесь прямо сейчас!"
"Email:","Email:"
"Company name:","Название фирмы:"
"Street:","Улица:"
"City:","Город:"
"ZIP:","Почтовый индекс:"
"Country:","Страна:"
"Company ID:","Идентификационный номер предприятия:"
