"lang_iso_code","rs"
"lang_alphabet","A;B;V;G;D;Đ;E;Ž;Z;I;J;K;L;Lj;M;N;Nj;O;P;R;S;T;Ć;U;F;H;C;Č;Dž;Š;А;Б;В;Г;Д;Ђ;Е;Ж;З;И;J;К;Л;Љ;М;Н;Њ;О;П;Р;С;Т;Ћ;У;Ф;Х;Ц;Ч;Џ;Ш"
"smscurrency","EUR"
"All years","Sve godine"
"About","O nama"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Sva prava zadržana"
"Developer:","Developer:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adresa:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","Češka"
"VAT: CZ29444268","PIB: CZ29444268"
"Office Telephone:","Broj telefona:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/rs/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Izabrati događaje za vreme kojih će šef prodavnice dobiti obaveštenje SMSom i zadati tekst poruke."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Obeležiti samo ako se žele koristiti Kineski, Arapski, Grčki, Hebrejski, Koreanski, Ćirilični itd. simboli u tekstu poruke (Unicode tekst dozvoljava korišćenje simbola u svim fontovima i raznih drugih simbola u isto vreme. Broj simbola u pojedinačnoj poruci će biti ograničen na 70)."
"Save","Sačuvati"
"Sending notifications via SMS is ACTIVE","Slanje obaveštenja SMSom je AKTIVIRANO"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Slanje obaveštenja SMSom NIJE AKTIVIRANO. Da bi se aktiviralo slanje SMSa obeležiti bar jednog administratora."
"Update of order status","Ažuriranje stanja porudžbine"
