"lang_iso_code","sv"
"smscurrency","EUR"
"lang_alphabet","A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z"
"All years","Alla år"
"About","Om"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., All rättigheter reserverade"
"Settings","Inställningar"
"Developer:","Utvecklare:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adress:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","Tjeckien"
"VAT: CZ29444268","VAT: CZ29444268"
"Office Telephone:","Kontorstelefon:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-postadress:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Välj under vilka evenemang som butiksadministratöreren skall skicka meddeladen via SMS och anpassa texten i meddelanden."
"Unicode SMS","Unikod SMS"
"unicode","unikod"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Kolla bara om du vill använda kinesiska, arabiska, grekiska, hebreiska, koreanska, kyrilliska, etc. eller diacritic i texten i ditt SMS meddelande med (Unikod-text kan du infoga tecken i alla teckensnitt och diverse andra symboler samtidigt. Antal tecken i ett SMS kommer att minskas till 70)."
"Save","Spara"
"Sending notifications via SMS is ACTIVE","Skicka meddelanden via SMS är AKTIVT"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Skicka meddelanden via SMS är inte aktivt. För att aktivera SMS sändning kontrollera att det finns minst en administratör."
"Update of order status","Uppdatering av beställningsstatus"
"Account","Konto"
"Product","Produkt"
"Order status","Beställningsstatus"
"Order","Beställning"
"Admin SMS - not active","Admin SMS - är inte aktivt"
"Please add at least one administrator!"," Vänligen lägg till minst en administratör!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Användarprofil är inaktiv! För att registrera klicka på fliken SMS i huvudmenyn. Modulen kommer då att visas på skärmen för att skriva in registreringsdata. Om du har använt vår modul tidigare och du vet ditt användarnamn och lösenord, fyll i formuläret för befintligt konto. Annars fyll i din E-postadress, acceptera licensvillkoren och klicka på registrera."
"Invalid SMS text","Ogiltig SMS text"
"Text of SMS was saved.","SMS text sparades."
"Unicode saved.","Unikod sparad."
"char","tecken"
"chars","tecken"
"label","Etikett"
"SMS text","SMS text"
"total sms:","Totalt sms:"
"Total sms:","Totalt sms:"
"Enter SMS text","Ange SMS text"
"Preview","Förhandsgranska"
"Administrators","Administratörer"
"Save","Spara"
"Cancel","Avbryt"
"Restore unsaved changes to its original state.","Återställ ej sparade ändringar i sitt ursprungliga skick "
"User profile - not active","Användarprofil - ej aktiv"
"User profile - active","Användarprofil - aktiv"
"New user account","Nytt användarkonto"
"Not registered yet? Create account now!","Inte registrerad ännu? Skapa ett konto nu!"
"Email:","E-postadress:"
"Company name:","Företagsnamn:"
"Street:","Gata:"
"City:","Stad:"
"ZIP:","Postnummer:"
"Country:","Land:"
"Company ID:","Företags ID:"
"Company VAT:","Företag momsregistreringsnummer:"
"Referer ID:","Referens ID:"
"View licence terms:","Visa licensvillkor:"
"I agree","jag håller med"
"I dont agree","Jag håller inte med"
"Register","Registrera"
