"lang_iso_code","tr"
"lang_alphabet","A;Â;B;C;Ç;D;E;F;G;Ğ;H;İ;I;Î;J;K;L;M;N;O;Ö;P;R;S;Ş;T;U;Ü;Û;V;Y;Z"
"smscurrency","EUR"
"All years","Tüm yıl"
"About","Hakkımızda"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Tüm hakları koruma altındadır<br /><br /><b>SMS Modülü Türkçe çevirisi:</b><br />İsmail UĞUR<br />Gazeteci, Sosyal Medya Uzmanı, Teknik Çevirmen<br />İstanbul'da yaşıyor.<br />İletişim Tel: 0.544 349 11 38<br />mail: <a href=""mailto:ugurbay@gmail.com"">ugurbay@gmail.com</a>"
"Developer:","Geliştirici:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adres:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","Czech Republic"
"VAT: CZ29444268","Vergi Numarası: CZ29444268"
"Office Telephone:","Ofis Telefonu:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/tr/index.html"
"Admin SMS","SMS Yöneticisi"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Mağaza yöneticilerine gönderilecek SMS mesajı için konu seç"
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Bu seçeneği Çince, Arapça, Yunanca, Korece gibi dilleri kullanacaksanız işaretleyin(Unicode karakterler farklı alfabeleri ve özel karakterleri destekler. Bir SMS için yazılacak karakter sayısı 70 olmalıdır)."
"Save","Kaydet"
"Sending notifications via SMS is ACTIVE","SMS'le bildirim gönderimi AÇIK"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","SMS'le bildirim gönderimi KAPALI. SMS gönderimi aktif hale getirmek için bir yönetici işaretleyin."
"Update of order status","Sipariş durumunu güncelle"
"Account","Hesap"
"Product","Ürün"
"Order status","Sipariş Durumu"
"Order","Sipariş"
"Admin SMS - not active","Yönetici SMS - kapalı"
"Please add at least one administrator!","En az bir yönetici ekleyin!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Kullanıcı profili aktif değil! Üye olmak için Ana menüdeki SMS sekmesine tıklayın. Eğer modülümüzü daha önce kullandıysanız, kullanıcı adı ve parolanızı biliyorsanız, mevcut hesap bilgilerinizi girin. yoksa sadece mail adresinizi girerek lisans sözleşmesini kabul edip giriş yapın."
"Invalid SMS text","Geçersiz SMS metni"
"Text of SMS was saved.","SMS metni kaydedildi."
"Unicode saved.","Unicode kaydedildi."
"char","Tür"
