"store","websites","attribute_set","type","category_ids","sku","has_options","name","gift_message_available","url_key","url_path","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","price","special_price","cost","weight","msrp","status","visibility","tax_class_id","is_recurring","em_featured","em_deal","em_hot","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","331,345,432","891350002048","0","台湾 阿旺 复原乳牛奶 240ml","No","00370","00370.html"," ","Use config","Use config","","","/00370/1.jpg","/00370/1.jpg","/00370/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","",".69","","","0.770","","Enabled","Catalog, Search","None","No","","","","<p>产地 :  台湾</p>
<p>成份 : 水、奶粉、糖</p>
<p>保存期限 :见包装</p>","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","台湾 阿旺 复原乳牛奶 240ml","0","simple","",""
"admin","base","Default","simple","331345431.00","051299171391","0","台湾 玉龙 松花无铅皮蛋 7.7oz","No","07299","07299.html"," ","Use config","Use config","","","/07299/1.jpg","/07299/1.jpg","/07299/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","2.99","","","0.800","","Enabled","Catalog, Search","None","No","","","","<p>商品产地： 台湾 </p><p>成份:  蛋，盐 </p><p>保存期限 :见封口处</p>","皮蛋又称松花蛋、变蛋等","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","台湾 玉龙 松花无铅皮蛋 7.7oz","0","simple","",""
"admin","base","Default","simple","330,340,659","027568060871","0","Tropical 鸡胸肉切片 8oz","No","02942","02942.html"," ","Use config","Use config","","","/02942/1.jpg","/02942/1.jpg","/02942/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.49","","","0.825","","Enabled","Catalog, Search","None","No","","","","<p>产地 : 美国</p>
<p>成份 : 水，植物油， 食盐</p>
<p>保存期限 :见封口处</p>","<p>美国版午餐肉片，片片劲道，味道十足</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Tropical 鸡胸肉切片 8oz","0","simple","",""
"admin","base","Default","simple","330,340,659","027568060505","0","Tropical 经典火腿切片 4oz","No","02932","02932.html"," ","Use config","Use config","","","/02932/1.jpg","/02932/1.jpg","/02932/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","1.19","","","1.055","","Enabled","Catalog, Search","None","No","","","","<p>产地 : 美国</p>
<p>成份 : 水，植物油， 食盐</p>
<p>保存期限 :见封口处</p>","<p>美国版午餐肉片，片片劲道，味道十足</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Tropical 经典火腿切片 4oz","0","simple","",""
"admin","base","Default","simple","330,340,659","027568060703","0","Tropical 方火腿(整)12oz","No","02939","02939.html"," ","Use config","Use config","","","/02939/1.jpg","/02939/1.jpg","/02939/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.49","","","0.540","","Enabled","Catalog, Search","None","No","","","","<p>产地 : 美国</p>
<p>成份 : 水，植物油， 食盐</p>
<p>保存期限 :见封口处</p>","<p>美国版午餐肉片，片片劲道，味道十足</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Tropical 方火腿(整)12oz","0","simple","",""
"admin","base","Default","simple","330,340,659","027568060727","0","Tropical 方火腿切片12oz","No","02940","02940.html"," ","Use config","Use config","","","/02940/1.jpg","/02940/1.jpg","/02940/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.49","","","1.100","","Enabled","Catalog, Search","None","No","","","","<p>产地 : 美国</p>
<p>成份 : 水，植物油， 食盐</p>
<p>保存期限 :见封口处</p>","<p>美国版午餐肉片，片片劲道，味道十足</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Tropical 方火腿切片12oz","0","simple","",""
"admin","base","Default","simple","330,340,659","027568060345","0","Tropical 熟制Salami香肠 27.5oz","No","02979","02979.html"," ","Use config","Use config","","","/02979/1.jpg","/02979/1.jpg","/02979/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","5.79","","","1.075","","Enabled","Catalog, Search","None","No","","","","<p>产地 : 美国</p>
<p>成份 : 水，植物油</p>
<p>保存期限 :见封口处</p>","<p>TROPICAL牌香肠</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","Tropical 熟制Salami香肠 27.5oz","0","simple","",""
"admin","base","Default","simple","330,340,659","614632400031","0","台湾 松珍 叉烧肉 300g","No","07191","07191.html"," ","Use config","Use config","","","/07191/1.jpg","/07191/1.jpg","/07191/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","7.79","","","0.760","","Enabled","Catalog, Search","None","No","","","","<p>商品产地： 台湾 </p><p>成份:  非基因改造大豆蛋白，乳清，芥花油，糖，盐，植物性香料  </p><p>保存期限 :见封口处</p>","含有丰富蛋白质","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","台湾 松珍 叉烧肉 300g","0","simple","",""
"admin","base","Default","simple","330,340,659","614632320124","0","台湾 松珍 土纳鱼排 500g","No","07193","07193.html"," ","Use config","Use config","","","/07193/1.jpg","/07193/1.jpg","/07193/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","9.29","","","0.835","","Enabled","Catalog, Search","None","No","","","","<p>商品产地： 台湾 </p><p>成份:  非基因改造大豆蛋白，乳清，芥花油，糖，盐，植物性香料  </p><p>保存期限 :见封口处</p>","含有丰富蛋白质","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","台湾 松珍 土纳鱼排 500g","0","simple","",""
"admin","base","Default","simple","330,340,659","797803701226","0","美国 嘉嘉 法兰克福香肠 10oz","No","07211","07211.html"," ","Use config","Use config","","","/07211/1.jpg","/07211/1.jpg","/07211/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","4.69","","","0.875","","Enabled","Catalog, Search","None","No","","","","<p>商品产地： 美国</p><p>成份:  猪肉，水，土豆粉，盐，糖  </p><p>保存期限 :见封口处</p>","香肠可开胃助食，增进食欲","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","美国 嘉嘉 法兰克福香肠 10oz","0","simple","",""
